datetime,tcc,lcc,mcc,hcc,temperature_2m,relative_humidity_2m,dew_point_2m,surface_pressure,wind_gusts_10m,u10,v10
2017-01-01 00:00:00,0.08,0.01,0.04,0.28,21.6,83.0,18.6,1005.0,15.8,1.113384807680527,-7.922144549932562
2017-01-01 01:00:00,0.21,0.01,0.2,0.13,21.2,85.0,18.6,1004.3,15.1,2.225843787881678,-8.306962106085987
2017-01-01 02:00:00,0.07,0.22,0.36,0.0,20.9,86.0,18.5,1003.9,15.1,2.8649997592229792,-8.320563465273988
2017-01-01 03:00:00,0.16,0.1,0.26,0.0,20.7,87.0,18.5,1003.5,15.8,4.9961746444860236,-6.876644452187052
2017-01-01 04:00:00,0.21,0.13,0.23,0.01,20.6,87.0,18.4,1003.2,16.9,4.366085533908785,-8.211412613588022
2017-01-01 05:00:00,0.5,0.17,0.08,0.39,21.2,85.0,18.6,1003.7,18.0,2.952954217699645,-9.658678035226657
2017-01-01 06:00:00,0.21,0.05,0.01,0.17,21.8,83.0,18.8,1004.4,18.7,-0.7533699164365533,-10.773691742806102
2017-01-01 07:00:00,0.69,0.03,0.0,0.67,23.5,76.0,19.0,1005.5,24.5,-3.2417534010355475,-13.001962732098352
2017-01-01 08:00:00,0.68,0.03,0.03,0.67,25.8,68.0,19.4,1006.5,34.9,-4.970318980286525,-16.2571808513716
2017-01-01 09:00:00,0.75,0.02,0.01,0.75,27.5,61.0,19.3,1007.1,35.6,-4.573451516749222,-14.075636441168273
2017-01-01 10:00:00,0.72,0.13,0.01,0.69,29.5,52.0,18.8,1006.7,33.1,-6.1371960550470845,-12.583116648188339
2017-01-01 11:00:00,0.52,0.22,0.01,0.39,31.5,46.0,18.3,1005.8,36.0,-9.110671410533334,-12.539763412811686
2017-01-01 12:00:00,0.45,0.22,0.05,0.31,32.7,41.0,17.6,1004.1,36.0,-10.093575728924979,-10.824034783963723
2017-01-01 13:00:00,0.53,0.44,0.19,0.08,33.5,36.0,16.1,1002.6,34.6,-10.480543022969403,-8.188297621831255
2017-01-01 14:00:00,0.43,0.0,0.43,0.0,33.5,34.0,15.5,1001.4,32.0,-12.22684500917257,-2.598896135221993
2017-01-01 15:00:00,0.91,0.0,0.76,0.62,30.1,61.0,21.9,1000.9,42.5,-19.791905041740677,7.597400530360366
2017-01-01 16:00:00,0.98,0.0,0.2,0.98,29.4,60.0,20.7,1001.1,43.6,-19.032981579578713,5.457619645176582
2017-01-01 17:00:00,1.0,0.0,0.02,0.98,28.4,62.0,20.5,1001.4,39.2,-14.748495039395145,3.67721281311495
2017-01-01 18:00:00,1.0,0.0,0.0,1.0,26.8,71.0,21.1,1002.0,28.4,-11.85817897394164,3.6254091385619347
2017-01-01 19:00:00,1.0,0.0,0.01,1.0,26.1,73.0,21.0,1003.1,25.6,-14.094155353306771,-1.7305446763530943
2017-01-01 20:00:00,1.0,0.0,0.0,1.0,25.5,75.0,20.7,1004.4,25.9,-13.331811915950366,-4.59051097784591
2017-01-01 21:00:00,1.0,0.01,0.0,1.0,24.9,80.0,21.2,1005.5,25.2,-12.229903587113343,-4.694620139043435
2017-01-01 22:00:00,0.98,0.0,0.0,0.98,24.5,83.0,21.5,1005.8,23.8,-8.683011669463312,-6.079910225321088
2017-01-01 23:00:00,1.0,0.14,0.0,0.99,24.3,85.0,21.6,1005.5,19.1,-2.902780391316932,-7.5620014546273335
2017-01-02 00:00:00,0.98,0.14,0.0,0.97,24.1,86.0,21.7,1005.0,15.1,-1.8221035401853065,-7.892397524760405
