datetime,tcc,lcc,mcc,hcc,temperature_2m,relative_humidity_2m,dew_point_2m,surface_pressure,wind_gusts_10m,u10,v10
2019-01-01 00:00:00,0.09,0.09,0.01,0.0,21.2,89.0,19.5,1007.0,14.0,-3.990508283680072,-7.505054539300879
2019-01-01 01:00:00,0.33,0.19,0.31,0.0,21.1,87.0,18.9,1006.6,17.6,-3.933369230867076,-9.735430472951268
2019-01-01 02:00:00,0.53,0.38,0.51,0.0,21.2,85.0,18.5,1006.2,22.0,-3.8627124296868423,-11.888206453689419
2019-01-01 03:00:00,0.39,0.38,0.34,0.0,21.0,85.0,18.4,1006.1,23.0,-3.610849361202689,-12.592528216791978
2019-01-01 04:00:00,0.21,0.2,0.16,0.0,20.6,85.0,18.0,1006.0,23.4,-2.9018686010358588,-12.569373835729534
2019-01-01 05:00:00,0.11,0.07,0.07,0.0,20.5,84.0,17.7,1006.4,23.0,-2.232465245905574,-11.485038046337667
2019-01-01 06:00:00,0.07,0.05,0.06,0.0,20.8,83.0,17.8,1007.0,21.2,-1.7677094549546088,-11.160878248725057
2019-01-01 07:00:00,0.09,0.08,0.06,0.0,21.8,81.0,18.3,1008.0,19.4,-2.2246550917500247,-10.46617932785172
2019-01-01 08:00:00,0.09,0.08,0.04,0.0,23.3,74.0,18.3,1008.7,26.6,-4.063966695646041,-13.292636107886192
2019-01-01 09:00:00,0.25,0.25,0.02,0.0,24.6,68.0,18.2,1009.0,39.6,-9.389431255717817,-17.65895185717854
2019-01-01 10:00:00,0.6,0.6,0.01,0.0,25.4,64.0,18.1,1008.4,39.6,-8.262627095259752,-16.216318740228296
2019-01-01 11:00:00,0.98,0.98,0.01,0.0,26.0,61.0,18.0,1007.4,37.1,-7.887122254802966,-14.833519560029973
2019-01-01 12:00:00,0.98,0.98,0.0,0.0,27.0,58.0,18.0,1006.3,34.9,-7.828578738632823,-13.028942970672107
2019-01-01 13:00:00,0.93,0.93,0.0,0.0,27.1,56.0,17.7,1005.0,32.4,-8.98865753975461,-11.50495700265814
2019-01-01 14:00:00,0.92,0.92,0.0,0.0,27.3,55.0,17.5,1004.0,31.0,-8.181165083647887,-10.10289749894062
2019-01-01 15:00:00,0.88,0.88,0.0,0.0,27.5,54.0,17.2,1003.6,27.0,-7.288537128426667,-10.031810730249349
2019-01-01 16:00:00,0.96,0.96,0.0,0.0,27.1,55.0,17.3,1003.7,25.2,-7.872708347886087,-9.056514962673264
2019-01-01 17:00:00,0.21,0.0,0.0,0.0,25.8,62.0,18.0,1003.7,22.0,-4.342310698243878,-5.3623071340531
2019-01-01 18:00:00,0.0,0.0,0.0,0.0,24.0,65.0,17.0,1004.4,14.4,-5.356254835333226,-6.85569355637848
2019-01-01 19:00:00,0.0,0.0,0.0,0.0,23.0,67.0,16.5,1005.4,14.4,-6.47213595499958,-4.702282018339785
2019-01-01 20:00:00,0.07,0.07,0.0,0.0,22.9,70.0,17.2,1006.2,17.6,-10.474422527728153,-0.732442974313315
2019-01-01 21:00:00,0.09,0.09,0.0,0.0,22.4,84.0,19.6,1007.0,19.8,-10.091075553270363,-2.515987714236544
2019-01-01 22:00:00,0.06,0.06,0.0,0.0,22.1,87.0,19.8,1007.7,19.1,-8.65274562245294,-3.672872607799173
2019-01-01 23:00:00,0.26,0.13,0.0,0.15,21.3,89.0,19.4,1007.6,16.9,-6.139453095510071,-4.971631089293716
2019-01-02 00:00:00,0.12,0.12,0.0,0.0,20.5,89.0,18.7,1007.2,14.0,-3.6319239979163744,-7.128052193506943
2019-01-02 01:00:00,0.17,0.15,0.0,0.03,20.0,86.0,17.7,1006.7,16.2,-2.9047597471245057,-8.939931253174443
2019-01-02 02:00:00,0.35,0.1,0.0,0.28,19.5,87.0,17.4,1005.9,19.4,-3.5227937358744006,-10.84204428576475
2019-01-02 03:00:00,0.56,0.07,0.0,0.53,19.2,89.0,17.4,1005.6,20.9,-2.951447126315946,-11.837607860567156
2019-01-02 04:00:00,0.52,0.03,0.0,0.5,18.9,89.0,17.0,1006.0,21.6,-3.183474254761005,-11.88088766335554
2019-01-02 05:00:00,0.48,0.01,0.0,0.0,19.0,85.0,16.5,1006.3,22.3,-4.418943019561748,-13.600108183020696
2019-01-02 06:00:00,0.0,0.0,0.0,0.0,19.2,84.0,16.4,1007.1,26.3,-5.782820701641252,-13.623471831096118
2019-01-02 07:00:00,0.0,0.0,0.0,0.0,20.0,83.0,16.9,1008.0,26.3,-5.35301646030305,-12.610916492298433
2019-01-02 08:00:00,0.02,0.02,0.0,0.0,21.6,74.0,16.9,1009.0,32.0,-5.643332364873534,-15.50492824296749
2019-01-02 09:00:00,0.07,0.07,0.0,0.0,23.1,64.0,16.0,1009.2,35.3,-5.697442703000243,-16.546575072988045
2019-01-02 10:00:00,0.23,0.23,0.0,0.0,24.3,58.0,15.6,1008.8,36.4,-7.715332183487764,-15.818775214865342
2019-01-02 11:00:00,0.19,0.19,0.0,0.0,25.2,55.0,15.6,1007.9,36.0,-8.027963723638733,-15.098403837887652
2019-01-02 12:00:00,0.19,0.19,0.0,0.0,26.0,52.0,15.4,1006.4,36.7,-8.262699505031678,-15.539877634317117
2019-01-02 13:00:00,0.09,0.09,0.0,0.0,26.3,50.0,15.2,1005.2,36.7,-9.273587124081086,-14.840841682737453
2019-01-02 14:00:00,0.09,0.09,0.0,0.0,26.4,50.0,15.0,1004.4,36.7,-9.367791402258465,-14.425133768661293
2019-01-02 15:00:00,0.0,0.0,0.0,0.0,26.4,50.0,15.1,1004.3,34.9,-9.267951356541543,-12.29898685472831
2019-01-02 16:00:00,0.0,0.0,0.0,0.0,26.0,52.0,15.4,1004.3,31.3,-9.367828489024015,-10.40402755668352
2019-01-02 17:00:00,0.0,0.0,0.0,0.0,25.0,59.0,16.4,1004.9,27.0,-2.192787785420526,-7.172285669722766
2019-01-02 18:00:00,0.0,0.0,0.0,0.0,22.9,66.0,16.2,1005.7,13.7,2.225843787881678,-8.306962106085987
2019-01-02 19:00:00,0.02,0.02,0.0,0.0,22.3,68.0,16.1,1006.5,16.2,4.014873486536643,-8.609923976848176
2019-01-02 20:00:00,0.15,0.15,0.0,0.0,21.8,68.0,15.6,1007.2,16.2,3.6149310334513594,-6.798696465013738
2019-01-02 21:00:00,0.37,0.37,0.0,0.0,21.0,72.0,15.9,1007.4,13.0,5.020458146424488,-5.0204581464244855
2019-01-02 22:00:00,0.34,0.34,0.0,0.0,21.1,76.0,16.8,1007.7,10.1,5.051654523226907,-5.811263767715344
2019-01-02 23:00:00,0.45,0.29,0.0,0.23,22.8,61.0,15.0,1007.8,9.0,-1.7918397477265013,-4.667902132486009
2019-01-03 00:00:00,0.84,0.75,0.0,0.39,20.5,77.0,16.3,1007.2,10.1,-4.683895701129233,-7.212566884330647
2019-01-03 01:00:00,0.42,0.4,0.3,0.01,21.4,72.0,16.0,1006.7,10.4,-1.7613968679372003,-5.421022142882375
2019-01-03 02:00:00,0.33,0.25,0.19,0.1,21.2,74.0,16.5,1006.4,13.3,-2.472135954999579,-7.608452130361228
