datetime,tcc,lcc,mcc,hcc,temperature_2m,relative_humidity_2m,dew_point_2m,surface_pressure,wind_gusts_10m,u10,v10
2017-01-01 00:00:00,0.04,0.01,0.03,0.1,21.8,82.0,18.5,1005.1,13.3,-1.0324674692655236,-6.518743047927909
2017-01-01 01:00:00,0.08,0.01,0.18,0.12,21.0,86.0,18.5,1004.4,12.2,-0.3558845024520181,-6.790680836331102
2017-01-01 02:00:00,0.5,0.14,0.35,0.01,20.4,88.0,18.4,1003.9,11.9,0.3558845024520217,-6.790680836331102
2017-01-01 03:00:00,0.1,0.09,0.31,0.0,20.0,89.0,18.2,1003.6,12.2,2.8637765329939335,-5.385980316439454
2017-01-01 04:00:00,0.15,0.18,0.37,0.02,19.7,89.0,17.9,1003.4,12.6,2.4967470462773806,-6.859756131737131
2017-01-01 05:00:00,0.17,0.16,0.12,0.0,21.3,83.0,18.2,1003.7,13.3,-1.0577155672964973,-7.5260373224359345
2017-01-01 06:00:00,0.49,0.08,0.16,0.4,21.9,80.0,18.3,1004.4,13.0,-3.5875911898228945,-6.472185832831529
2017-01-01 07:00:00,0.64,0.18,0.1,0.55,23.7,70.0,18.0,1005.6,17.6,-2.2258437878816784,-8.306962106085987
2017-01-01 08:00:00,0.71,0.03,0.03,0.71,26.0,60.0,17.5,1006.6,24.5,-1.830283240970701,-11.555953584963111
2017-01-01 09:00:00,0.66,0.01,0.01,0.66,28.3,53.0,17.8,1007.0,32.0,-5.470235798849833,-12.887067948334165
2017-01-01 10:00:00,0.09,0.01,0.01,0.08,30.4,46.0,17.5,1006.6,32.8,-6.0834726965099275,-11.93948742412413
2017-01-01 11:00:00,0.66,0.54,0.4,0.24,32.5,38.0,16.5,1005.7,32.4,-6.807987937687838,-10.4833820993178
2017-01-01 12:00:00,0.72,0.0,0.7,0.06,33.9,33.0,15.2,1003.9,31.3,-6.538771374401925,-9.338333304894507
2017-01-01 13:00:00,0.99,0.0,0.96,0.18,34.6,31.0,14.8,1002.5,29.9,-6.877117867544073,-7.121464023352647
2017-01-01 14:00:00,0.64,0.0,0.64,0.0,35.0,29.0,14.4,1001.0,27.0,-6.836932394392027,-6.156001578501495
2017-01-01 15:00:00,1.0,0.0,1.0,0.0,34.8,29.0,14.1,1000.2,24.8,-8.98794046299167,-4.383711467890775
2017-01-01 16:00:00,0.93,0.0,0.8,0.53,32.5,39.0,16.7,1000.6,34.2,-18.031124035460596,-1.5775189437326125
2017-01-01 17:00:00,0.99,0.0,0.02,0.0,32.3,35.0,14.8,1000.9,40.7,-11.500351344681016,-8.666136333389495
2017-01-01 18:00:00,1.0,0.0,0.01,1.0,29.1,52.0,18.1,1001.6,28.8,-16.141369520487597,-2.268521545649067
2017-01-01 19:00:00,0.99,0.0,0.01,0.99,27.5,63.0,19.8,1002.9,31.3,-16.935309867559674,-1.4816476267101883
2017-01-01 20:00:00,1.0,0.0,0.0,1.0,26.2,72.0,20.7,1004.1,31.3,-15.448181872368497,-2.171100374977021
2017-01-01 21:00:00,1.0,0.0,0.0,1.0,25.6,76.0,21.0,1005.3,28.1,-12.569373835729534,-2.9018686010358574
2017-01-01 22:00:00,0.95,0.04,0.0,0.95,25.0,80.0,21.4,1005.9,23.4,-6.467184310807044,-2.1013155617496424
2017-01-01 23:00:00,1.0,0.22,0.0,0.99,24.7,82.0,21.5,1005.6,11.5,-1.8221342821066668,-2.5079526825623373
2017-01-02 00:00:00,1.0,0.17,0.0,0.99,24.8,82.0,21.5,1005.1,10.4,-1.7640790772287946,-6.1520748540052415
2017-01-02 01:00:00,0.98,0.2,0.0,0.97,24.4,82.0,21.2,1004.4,11.9,-0.721246396546809,-6.862201078041086
2017-01-02 02:00:00,0.96,0.34,0.05,0.96,24.4,80.0,20.8,1003.7,14.0,-1.469229264399395,-7.558529312547013
2017-01-02 03:00:00,0.96,0.67,0.0,0.93,24.6,78.0,20.6,1003.4,14.8,-2.8649997592229792,-8.320563465273988
2017-01-02 04:00:00,1.0,0.79,0.0,0.98,24.4,80.0,20.6,1003.6,16.9,-2.9047597471245057,-8.939931253174443
2017-01-02 05:00:00,1.0,0.99,0.0,0.91,24.5,80.0,20.8,1004.2,19.8,-1.060263287624783,-8.6351515192795
2017-01-02 06:00:00,0.94,0.33,0.11,0.89,24.8,78.0,20.5,1004.9,23.4,-2.834383284732699,-12.277062816293963
2017-01-02 07:00:00,0.97,0.26,0.07,0.97,25.4,73.0,20.1,1005.5,24.5,-2.834383284732699,-12.277062816293963
2017-01-02 08:00:00,0.98,0.32,0.07,0.98,26.6,66.0,19.8,1006.6,29.2,-3.914050452601388,-13.649916082324127
2017-01-02 09:00:00,0.99,0.24,0.2,0.99,28.6,57.0,19.2,1006.8,30.6,-3.859306502340125,-12.623222778712067
2017-01-02 10:00:00,0.93,0.29,0.15,0.87,30.0,50.0,18.5,1006.6,32.4,-2.9731371786939587,-13.987510690493423
2017-01-02 11:00:00,0.73,0.07,0.08,0.69,31.7,43.0,17.6,1005.9,34.2,-3.329275604289202,-14.420676958821483
2017-01-02 12:00:00,0.62,0.1,0.04,0.59,33.5,36.0,16.4,1004.7,34.9,-3.6493485359455424,-13.619554150675864
2017-01-02 13:00:00,0.45,0.14,0.03,0.37,34.3,32.0,15.4,1003.2,34.2,-3.7211043035294886,-12.977032895167305
2017-01-02 14:00:00,0.18,0.01,0.05,0.13,35.0,29.0,14.5,1001.8,32.8,-2.515731458894888,-11.835585968879048
2017-01-02 15:00:00,0.18,0.0,0.03,0.16,34.7,28.0,13.7,1001.0,30.2,-2.5634274090980926,-8.939733772226367
2017-01-02 16:00:00,0.27,0.0,0.05,0.23,34.2,29.0,13.5,1001.1,24.1,-4.702282018339785,-6.47213595499958
2017-01-02 17:00:00,0.26,0.0,0.04,0.87,32.8,32.0,13.9,1001.8,20.5,-4.033014550459512,-8.268905225952336
2017-01-02 18:00:00,0.49,0.0,0.06,0.43,30.1,38.0,14.1,1002.2,16.9,-5.0159053651246746,-3.6442685642133337
2017-01-02 19:00:00,0.3,0.0,0.05,0.26,28.4,54.0,18.1,1003.7,28.1,-15.844289099865126,2.2267696153610457
2017-01-02 20:00:00,0.01,0.0,0.01,0.0,26.5,70.0,20.6,1005.1,30.2,-15.855404823496551,2.795735660437578
2017-01-02 21:00:00,0.01,0.0,0.01,0.0,25.6,75.0,20.9,1005.9,29.2,-12.279324052395474,-1.7257464519048118
2017-01-02 22:00:00,0.21,0.0,0.21,0.0,25.4,77.0,21.0,1006.6,22.0,-5.766727053863696,-3.603450996785793
2017-01-02 23:00:00,0.08,0.02,0.07,0.01,25.1,77.0,20.9,1006.4,11.5,7.837739514543061e-16,-3.2
2017-01-03 00:00:00,0.14,0.02,0.0,0.12,24.5,80.0,20.8,1005.8,5.4,1.8221342821066675,-2.507952682562337
2017-01-03 01:00:00,0.18,0.12,0.02,0.08,24.1,81.0,20.8,1005.2,7.2,1.4214781741247593,-4.3748599749577055
2017-01-03 02:00:00,0.48,0.14,0.01,0.4,23.8,81.0,20.4,1004.4,10.4,1.1257730727216135,-5.791600382341218
2017-01-03 03:00:00,0.33,0.2,0.0,0.16,23.7,80.0,20.0,1004.2,10.8,1.0324674692655254,-6.5187430479279085
2017-01-03 04:00:00,0.25,0.15,0.0,0.12,23.5,80.0,19.9,1004.2,11.2,1.4846769586695112,-6.430842427582552
2017-01-03 05:00:00,0.23,0.15,0.0,0.59,23.6,81.0,20.1,1004.7,11.9,-1.7902220274375413,-7.180188374442374
2017-01-03 06:00:00,0.78,0.3,0.0,0.65,23.5,82.0,20.2,1005.5,16.6,-2.510544737494451,-9.369480515003962
2017-01-03 07:00:00,0.85,0.48,0.0,0.71,24.6,77.0,20.3,1006.0,25.6,-3.6493485359455424,-13.619554150675864
2017-01-03 08:00:00,0.95,0.52,0.0,0.85,26.4,66.0,19.5,1006.8,32.8,-5.506524307543267,-15.129051194653128
2017-01-03 09:00:00,0.95,0.31,0.0,0.9,28.7,54.0,18.5,1007.0,34.2,-4.993494092554763,-13.719512263474263
2017-01-03 10:00:00,0.92,0.06,0.0,0.91,30.3,47.0,17.7,1006.4,32.8,-3.5376976271451146,-11.571287547152728
2017-01-03 11:00:00,0.88,0.03,0.0,0.88,32.2,39.0,16.6,1005.9,30.2,-4.345436483624579,-10.755332712974734
2017-01-03 12:00:00,0.89,0.17,0.0,0.88,33.7,34.0,15.5,1004.5,31.0,-4.233054505599806,-10.4771775566047
2017-01-03 13:00:00,0.87,0.03,0.14,0.87,34.5,30.0,14.2,1002.8,30.2,-4.766900247265242,-9.355568503977864
2017-01-03 14:00:00,0.78,0.0,0.18,0.75,35.2,27.0,13.2,1001.3,28.4,-5.36825187331917,-7.9587606965284
2017-01-03 15:00:00,0.44,0.0,0.22,0.26,34.8,26.0,12.6,1000.6,26.3,-6.139453095510071,-4.971631089293716
2017-01-03 16:00:00,0.14,0.0,0.14,0.0,34.3,27.0,12.4,1000.5,22.3,-5.727564927611034,-5.727564927611035
2017-01-03 17:00:00,0.02,0.0,0.04,0.0,33.8,27.0,12.1,1000.8,20.5,-6.4347733221994154,-5.399415921366931
2017-01-03 18:00:00,0.0,0.0,0.0,0.0,30.0,41.0,15.4,1001.6,19.1,-6.825559592577447,9.747909327039004
2017-01-03 19:00:00,0.0,0.0,0.0,0.0,26.5,71.0,20.7,1002.9,31.3,-10.027486711110015,11.950293312656054
2017-01-03 20:00:00,0.0,0.0,0.0,0.0,26.8,71.0,21.0,1004.1,29.9,-15.84118355114072,4.244632339681342
2017-01-03 21:00:00,0.14,0.02,0.13,0.0,25.9,74.0,20.9,1005.0,29.9,-11.471986577987979,0.8021994480574413
2017-01-03 22:00:00,0.36,0.01,0.19,0.2,25.1,77.0,20.8,1006.1,20.2,-2.8940993221413254,-1.1109406435904312
2017-01-03 23:00:00,0.48,0.0,0.16,0.38,25.3,76.0,20.7,1005.8,5.4,-2.475670171853926,0.3479327524001634
2017-01-04 00:00:00,0.83,0.0,0.0,0.83,24.5,79.0,20.6,1005.3,6.1,-2.875087836170254,-2.166534083347374
2017-01-04 01:00:00,0.88,0.05,0.0,0.87,23.6,83.0,20.5,1004.5,6.1,-1.4364846019678086,-3.9467090073008158
2017-01-04 02:00:00,0.94,0.02,0.0,0.94,23.2,85.0,20.5,1004.0,5.8,7.837739514543061e-16,-3.2
2017-01-04 03:00:00,0.97,0.02,0.0,0.97,22.9,84.0,20.0,1003.5,7.9,-0.35575801609503904,-5.087576656325103
2017-01-04 04:00:00,0.89,0.02,0.01,0.88,22.7,78.0,18.8,1003.9,8.6,-1.0811407922523486,-5.08636752381579
2017-01-04 05:00:00,0.0,0.0,0.0,0.96,22.5,75.0,17.8,1004.4,9.0,-3.2095339943541705,-3.963444403430551
2017-01-04 06:00:00,0.76,0.0,0.0,0.76,22.7,70.0,17.0,1004.9,10.1,-3.2498011250210608,-4.312631754255381
2017-01-04 07:00:00,0.02,0.0,0.0,0.02,24.3,63.0,16.8,1006.0,14.4,-2.8878301658381815,-6.486172749262466
2017-01-04 08:00:00,0.01,0.01,0.0,0.0,26.4,55.0,16.5,1006.6,24.5,-2.795245687107224,-10.431998923921938
2017-01-04 09:00:00,0.0,0.0,0.0,0.0,28.7,42.0,14.6,1006.7,28.8,-2.8788705576360463,-11.546519142684359
2017-01-04 10:00:00,0.0,0.0,0.0,0.0,31.0,35.0,13.6,1006.1,31.0,-4.794964395723674,-11.86795333845488
2017-01-04 11:00:00,0.0,0.0,0.0,0.0,32.8,30.0,12.9,1005.3,33.5,-5.705346533499442,-12.235155124994774
2017-01-04 12:00:00,0.18,0.0,0.0,0.18,34.0,27.0,12.4,1003.8,33.5,-6.10313031621658,-11.47831870716605
2017-01-04 13:00:00,0.22,0.0,0.0,0.22,34.8,25.0,11.8,1002.0,33.1,-6.099957192168303,-9.393110360988748
2017-01-04 14:00:00,0.0,0.0,0.0,0.0,35.0,23.0,11.1,1001.0,29.9,-5.789747597658503,-7.149742845404131
2017-01-04 15:00:00,0.01,0.0,0.01,0.0,35.0,22.0,10.4,1000.4,26.3,-4.349999999999999,-7.534421012924616
2017-01-04 16:00:00,0.01,0.0,0.01,0.0,34.8,22.0,9.9,1000.3,23.8,-5.727564927611034,-5.727564927611035
2017-01-04 17:00:00,0.14,0.0,0.06,0.46,33.5,24.0,9.9,1001.0,20.9,-7.481133923521972,-7.224447052773572
2017-01-04 18:00:00,0.01,0.0,0.01,0.0,30.0,38.0,13.9,1001.4,23.0,-13.292636107886194,4.06396669564604
2017-01-04 19:00:00,0.63,0.0,0.0,0.63,27.5,60.0,18.9,1003.1,29.9,-16.92195349269484,3.5968722511472366
2017-01-04 20:00:00,0.0,0.0,0.0,0.0,25.8,64.0,18.5,1004.5,35.3,-14.397806810252035,-0.2513146526968838
2017-01-04 21:00:00,0.01,0.01,0.0,0.0,25.1,66.0,18.2,1005.5,25.2,-8.691657397237213,-1.3766232923540322
2017-01-04 22:00:00,0.16,0.01,0.0,0.15,24.6,68.0,18.3,1006.2,14.8,1.0549740469210396,-2.4853631043215887
2017-01-04 23:00:00,0.84,0.02,0.0,0.84,24.0,70.0,18.4,1005.8,6.1,1.4214781741247593,-4.3748599749577055
2017-01-05 00:00:00,0.49,0.01,0.0,0.48,23.7,72.0,18.4,1005.1,6.5,1.1110124779464012,-3.633958072659534
2017-01-05 01:00:00,0.1,0.07,0.0,0.03,23.5,73.0,18.3,1004.2,10.1,2.1727182418122917,-5.377666356487366
2017-01-05 02:00:00,0.05,0.05,0.0,0.0,23.1,74.0,18.2,1003.2,11.9,2.508575646817105,-6.535062985480411
2017-01-05 03:00:00,0.03,0.03,0.0,0.0,23.0,74.0,18.1,1002.8,13.0,1.469229264399394,-7.558529312547013
2017-01-05 04:00:00,0.0,0.0,0.0,0.0,22.8,74.0,18.0,1002.9,14.0,0.4134540543192605,-7.889173324561134
2017-01-05 05:00:00,0.0,0.06,0.0,0.26,22.5,75.0,17.9,1004.2,14.0,0.3401837155791384,-6.49109197590473
2017-01-05 06:00:00,0.16,0.14,0.0,0.02,22.5,75.0,18.0,1004.8,12.2,1.141971594793687,-7.210124886344505
2017-01-05 07:00:00,0.19,0.18,0.0,0.01,23.8,72.0,18.5,1005.9,18.4,0.32805526900350773,-9.394273773979501
2017-01-05 08:00:00,0.23,0.23,0.0,0.0,25.5,66.0,18.6,1006.5,29.5,-5.094649670456404,-12.60970042210831
2017-01-05 09:00:00,0.48,0.19,0.0,0.39,27.2,56.0,17.7,1006.8,29.5,-5.856477446640154,-11.493984162029946
