source_file,source_day_folder,time_utc,time_ist,target_lat,target_lon,grid_lat,grid_lon,row_index,col_index,ghi,dhi,dni,ins,time,projection_information,proj_dim
3RIMG_01DEC2017_0015_L2C_INS_V01R00.h5,01DEC,2017-12-01 00:15:00,2017-12-01 05:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,0.0,0.0,0.0,9423375.0,23226296,0
3RIMG_01DEC2017_0045_L2C_INS_V01R00.h5,01DEC,2017-12-01 00:45:00,2017-12-01 06:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,0.0,0.0,0.0,9423405.0,-2051643464,0
3RIMG_01DEC2017_0115_L2C_INS_V01R00.h5,01DEC,2017-12-01 01:15:00,2017-12-01 06:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,0.0,0.0,0.0,9423435.0,-831813704,0
3RIMG_01DEC2017_0145_L2C_INS_V01R00.h5,01DEC,2017-12-01 01:45:00,2017-12-01 07:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,0.0,0.0,0.0,9423465.0,996636600,0
3RIMG_01DEC2017_0215_L2C_INS_V01R00.h5,01DEC,2017-12-01 02:15:00,2017-12-01 07:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,117.19844818115234,97.16802215576172,47.91288757324219,51.979331970214844,9423495.0,460429240,0
3RIMG_01DEC2017_0245_L2C_INS_V01R00.h5,01DEC,2017-12-01 02:45:00,2017-12-01 08:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,290.81243896484375,208.27293395996094,158.0499725341797,110.26583099365234,9423525.0,2088445880,0
3RIMG_01DEC2017_0315_L2C_INS_V01R00.h5,01DEC,2017-12-01 03:15:00,2017-12-01 08:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,664.535888671875,79.72715759277344,946.2511596679688,445.66864013671875,9423555.0,604350392,0
3RIMG_01DEC2017_0345_L2C_INS_V01R00.h5,01DEC,2017-12-01 03:45:00,2017-12-01 09:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,772.8657836914062,89.56694793701172,972.1436767578125,471.38433837890625,9423585.0,1461028792,0
3RIMG_01DEC2017_0415_L2C_INS_V01R00.h5,01DEC,2017-12-01 04:15:00,2017-12-01 09:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,866.0338745117188,97.7724380493164,990.0225219726562,691.1900634765625,9423615.0,-80558152,0
3RIMG_01DEC2017_0445_L2C_INS_V01R00.h5,01DEC,2017-12-01 04:45:00,2017-12-01 10:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,946.7103271484375,105.19253540039062,1006.5529174804688,713.288818359375,9423645.0,1420314552,0
3RIMG_01DEC2017_0545_L2C_INS_V01R00.h5,01DEC,2017-12-01 05:45:00,2017-12-01 11:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,1042.9012451171875,114.88734436035156,1017.9338989257812,897.729248046875,9423705.0,926042040,0
3RIMG_01DEC2017_0615_L2C_INS_V01R00.h5,01DEC,2017-12-01 06:15:00,2017-12-01 11:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,339.3928527832031,279.41314697265625,64.7416763305664,323.063232421875,9423735.0,-1835694152,0
3RIMG_01DEC2017_0645_L2C_INS_V01R00.h5,01DEC,2017-12-01 06:45:00,2017-12-01 12:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,323.80169677734375,267.2632141113281,61.090179443359375,308.47503662109375,9423765.0,567805880,0
3RIMG_01DEC2017_0715_L2C_INS_V01R00.h5,01DEC,2017-12-01 07:15:00,2017-12-01 12:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,275.39788818359375,228.17234802246094,51.97674560546875,278.237548828125,9423795.0,1627199416,0
3RIMG_01DEC2017_0745_L2C_INS_V01R00.h5,01DEC,2017-12-01 07:45:00,2017-12-01 13:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,544.77294921875,349.9544372558594,222.34561157226562,566.987548828125,9423825.0,-2091722824,0
3RIMG_01DEC2017_0815_L2C_INS_V01R00.h5,01DEC,2017-12-01 08:15:00,2017-12-01 13:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,446.7015075683594,327.877197265625,143.33033752441406,477.51416015625,9423855.0,460912568,0
3RIMG_01DEC2017_0845_L2C_INS_V01R00.h5,01DEC,2017-12-01 08:45:00,2017-12-01 14:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,479.8667907714844,305.9855651855469,226.6953125,547.398193359375,9423885.0,614385592,0
