source_file,source_day_folder,time_utc,time_ist,target_lat,target_lon,grid_lat,grid_lon,row_index,col_index,ins,time,projection_information,proj_dim
3RIMG_01JAN2017_0015_L2C_INS_V01R00.h5,01JAN,2017-01-01 00:15:00,2017-01-01 05:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,8942415.0,1472309176,0
3RIMG_01JAN2017_0045_L2C_INS_V01R00.h5,01JAN,2017-01-01 00:45:00,2017-01-01 06:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,8942445.0,1262507960,0
3RIMG_01JAN2017_0115_L2C_INS_V01R00.h5,01JAN,2017-01-01 01:15:00,2017-01-01 06:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,8942475.0,1916323768,0
3RIMG_01JAN2017_0145_L2C_INS_V01R00.h5,01JAN,2017-01-01 01:45:00,2017-01-01 07:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,8942505.0,911251384,0
3RIMG_01JAN2017_0215_L2C_INS_V01R00.h5,01JAN,2017-01-01 02:15:00,2017-01-01 07:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,101.17166900634766,8942535.0,339130296,0
3RIMG_01JAN2017_0245_L2C_INS_V01R00.h5,01JAN,2017-01-01 02:45:00,2017-01-01 08:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,106.32969665527344,8942565.0,-605046856,0
3RIMG_01JAN2017_0315_L2C_INS_V01R00.h5,01JAN,2017-01-01 03:15:00,2017-01-01 08:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,218.4134521484375,8942595.0,624322488,0
3RIMG_01JAN2017_0345_L2C_INS_V01R00.h5,01JAN,2017-01-01 03:45:00,2017-01-01 09:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,232.27474975585938,8942625.0,-659044424,0
3RIMG_01JAN2017_0415_L2C_INS_V01R00.h5,01JAN,2017-01-01 04:15:00,2017-01-01 09:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,339.9844055175781,8942655.0,1554790328,0
3RIMG_01JAN2017_0445_L2C_INS_V01R00.h5,01JAN,2017-01-01 04:45:00,2017-01-01 10:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,416.07928466796875,8942685.0,1394177976,0
3RIMG_01JAN2017_0515_L2C_INS_V01R00.h5,01JAN,2017-01-01 05:15:00,2017-01-01 10:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,490.067138671875,8942715.0,1081616312,0
3RIMG_01JAN2017_0545_L2C_INS_V01R00.h5,01JAN,2017-01-01 05:45:00,2017-01-01 11:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,515.146728515625,8942745.0,-1611257928,0
3RIMG_01JAN2017_0615_L2C_INS_V01R00.h5,01JAN,2017-01-01 06:15:00,2017-01-01 11:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,612.1719970703125,8942775.0,1870264248,0
3RIMG_01JAN2017_0645_L2C_INS_V01R00.h5,01JAN,2017-01-01 06:45:00,2017-01-01 12:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,963.4415283203125,8942805.0,318932920,0
3RIMG_01JAN2017_0715_L2C_INS_V01R00.h5,01JAN,2017-01-01 07:15:00,2017-01-01 12:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,639.6402587890625,8942835.0,-1425188936,0
3RIMG_01JAN2017_0745_L2C_INS_V01R00.h5,01JAN,2017-01-01 07:45:00,2017-01-01 13:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,987.7615356445312,8942865.0,-2088159304,0
3RIMG_01JAN2017_0815_L2C_INS_V01R00.h5,01JAN,2017-01-01 08:15:00,2017-01-01 13:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,560.2262573242188,8942895.0,551995320,0
3RIMG_01JAN2017_0845_L2C_INS_V01R00.h5,01JAN,2017-01-01 08:45:00,2017-01-01 14:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,469.1663513183594,8942925.0,1766406072,0
3RIMG_01JAN2017_0915_L2C_INS_V01R00.h5,01JAN,2017-01-01 09:15:00,2017-01-01 14:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,308.35845947265625,8942955.0,-1866102856,0
3RIMG_01JAN2017_0945_L2C_INS_V01R00.h5,01JAN,2017-01-01 09:45:00,2017-01-01 15:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,379.2206726074219,8942985.0,1047508920,0
3RIMG_01JAN2017_1015_L2C_INS_V01R00.h5,01JAN,2017-01-01 10:15:00,2017-01-01 15:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,290.0986328125,8943015.0,441419704,0
3RIMG_01JAN2017_1045_L2C_INS_V01R00.h5,01JAN,2017-01-01 10:45:00,2017-01-01 16:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,298.0036315917969,8943045.0,-269535304,0
3RIMG_01JAN2017_1115_L2C_INS_V01R00.h5,01JAN,2017-01-01 11:15:00,2017-01-01 16:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,229.9304962158203,8943075.0,-1631520840,0
3RIMG_01JAN2017_1145_L2C_INS_V01R00.h5,01JAN,2017-01-01 11:45:00,2017-01-01 17:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,204.65516662597656,8943105.0,1352906680,0
3RIMG_01JAN2017_1215_L2C_INS_V01R00.h5,01JAN,2017-01-01 12:15:00,2017-01-01 17:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,86.13277435302734,8943135.0,-69974088,0
3RIMG_01JAN2017_1245_L2C_INS_V01R00.h5,01JAN,2017-01-01 12:45:00,2017-01-01 18:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,8943165.0,169183160,0
3RIMG_01JAN2017_1315_L2C_INS_V01R00.h5,01JAN,2017-01-01 13:15:00,2017-01-01 18:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,8943195.0,1862260664,0
3RIMG_01JAN2017_1345_L2C_INS_V01R00.h5,01JAN,2017-01-01 13:45:00,2017-01-01 19:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,8943225.0,-984156232,0
3RIMG_01JAN2017_1415_L2C_INS_V01R00.h5,01JAN,2017-01-01 14:15:00,2017-01-01 19:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,8943255.0,1392322488,0
3RIMG_01JAN2017_1445_L2C_INS_V01R00.h5,01JAN,2017-01-01 14:45:00,2017-01-01 20:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,8943285.0,-1280968776,0
3RIMG_01JAN2017_1515_L2C_INS_V01R00.h5,01JAN,2017-01-01 15:15:00,2017-01-01 20:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,8943315.0,-1219622984,0
3RIMG_01JAN2017_1545_L2C_INS_V01R00.h5,01JAN,2017-01-01 15:45:00,2017-01-01 21:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,8943345.0,-454166600,0
3RIMG_01JAN2017_1615_L2C_INS_V01R00.h5,01JAN,2017-01-01 16:15:00,2017-01-01 21:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,8943375.0,-841422920,0
3RIMG_01JAN2017_1645_L2C_INS_V01R00.h5,01JAN,2017-01-01 16:45:00,2017-01-01 22:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,8943405.0,-907208776,0
3RIMG_01JAN2017_1715_L2C_INS_V01R00.h5,01JAN,2017-01-01 17:15:00,2017-01-01 22:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,8943435.0,-1303418952,0
3RIMG_01JAN2017_1745_L2C_INS_V01R00.h5,01JAN,2017-01-01 17:45:00,2017-01-01 23:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,8943465.0,429111224,0
3RIMG_01JAN2017_1815_L2C_INS_V01R00.h5,01JAN,2017-01-01 18:15:00,2017-01-01 23:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,8943495.0,1629738936,0
