source_file,source_day_folder,time_utc,time_ist,target_lat,target_lon,grid_lat,grid_lon,row_index,col_index,ghi,dhi,dni,ins,time,projection_information,proj_dim
3RIMG_01JAN2019_0015_L2C_INS_V01R00.h5,01JAN,2019-01-01 00:15:00,2019-01-01 05:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,0.0,0.0,0.0,9993615.0,1359022008,0
3RIMG_01JAN2019_0045_L2C_INS_V01R00.h5,01JAN,2019-01-01 00:45:00,2019-01-01 06:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,0.0,0.0,0.0,9993645.0,-464939080,0
3RIMG_01JAN2019_0115_L2C_INS_V01R00.h5,01JAN,2019-01-01 01:15:00,2019-01-01 06:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,0.0,0.0,0.0,9993675.0,-670144584,0
3RIMG_01JAN2019_0145_L2C_INS_V01R00.h5,01JAN,2019-01-01 01:45:00,2019-01-01 07:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,0.0,0.0,0.0,9993705.0,894289848,0
3RIMG_01JAN2019_0215_L2C_INS_V01R00.h5,01JAN,2019-01-01 02:15:00,2019-01-01 07:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,176.66574096679688,137.4161834716797,108.17484283447266,84.63835144042969,9993735.0,-899455048,0
3RIMG_01JAN2019_0245_L2C_INS_V01R00.h5,01JAN,2019-01-01 02:45:00,2019-01-01 08:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,213.89996337890625,170.37075805664062,92.57916259765625,86.13462829589844,9993765.0,1470441400,0
3RIMG_01JAN2019_0315_L2C_INS_V01R00.h5,01JAN,2019-01-01 03:15:00,2019-01-01 08:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,265.623779296875,209.92105102539062,97.85237121582031,186.04246520996094,9993795.0,-1582032968,0
3RIMG_01JAN2019_0345_L2C_INS_V01R00.h5,01JAN,2019-01-01 03:45:00,2019-01-01 09:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,256.1790466308594,209.92086791992188,70.26345825195312,162.49716186523438,9993825.0,-2010781768,0
3RIMG_01JAN2019_0415_L2C_INS_V01R00.h5,01JAN,2019-01-01 04:15:00,2019-01-01 09:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,775.4664306640625,117.7370834350586,892.7980346679688,635.683837890625,9993855.0,-1064228936,0
3RIMG_01JAN2019_0445_L2C_INS_V01R00.h5,01JAN,2019-01-01 04:45:00,2019-01-01 10:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,864.7412719726562,129.60008239746094,916.4290161132812,667.5130004882812,9993885.0,-1868523592,0
3RIMG_01JAN2019_0515_L2C_INS_V01R00.h5,01JAN,2019-01-01 05:15:00,2019-01-01 10:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,589.8521118164062,330.2789611816406,303.9125671386719,528.7770385742188,9993915.0,-2054957128,0
3RIMG_01JAN2019_0545_L2C_INS_V01R00.h5,01JAN,2019-01-01 05:45:00,2019-01-01 11:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,979.4682006835938,142.2099151611328,939.0633544921875,851.1373291015625,9993945.0,1140414392,0
3RIMG_01JAN2019_0615_L2C_INS_V01R00.h5,01JAN,2019-01-01 06:15:00,2019-01-01 11:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,1008.249755859375,145.51315307617188,944.2125854492188,959.4036865234375,9993975.0,-393156680,0
3RIMG_01JAN2019_0645_L2C_INS_V01R00.h5,01JAN,2019-01-01 06:45:00,2019-01-01 12:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,1019.9552612304688,147.25596618652344,948.5543212890625,965.703125,9994005.0,-1706711112,0
3RIMG_01JAN2019_0715_L2C_INS_V01R00.h5,01JAN,2019-01-01 07:15:00,2019-01-01 12:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,1005.633544921875,144.75833129882812,945.3884887695312,1000.9453125,9994035.0,-1938405448,0
3RIMG_01JAN2019_0745_L2C_INS_V01R00.h5,01JAN,2019-01-01 07:45:00,2019-01-01 13:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,972.8754272460938,141.5164031982422,938.3818969726562,988.1712646484375,9994065.0,439793592,0
3RIMG_01JAN2019_0815_L2C_INS_V01R00.h5,01JAN,2019-01-01 08:15:00,2019-01-01 13:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,922.265869140625,136.07533264160156,929.392578125,952.3023071289062,9994095.0,1549457336,0
3RIMG_01JAN2019_0845_L2C_INS_V01R00.h5,01JAN,2019-01-01 08:45:00,2019-01-01 14:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,852.320068359375,128.15609741210938,914.73095703125,925.6116943359375,9994125.0,2108106680,0
3RIMG_01JAN2019_0915_L2C_INS_V01R00.h5,01JAN,2019-01-01 09:15:00,2019-01-01 14:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,763.5194702148438,117.7281494140625,892.3519897460938,816.76611328125,9994155.0,-2062448712,0
3RIMG_01JAN2019_0945_L2C_INS_V01R00.h5,01JAN,2019-01-01 09:45:00,2019-01-01 15:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,659.9011840820312,105.19428253173828,862.650146484375,773.4688110351562,9994185.0,1721345976,0
3RIMG_01JAN2019_1015_L2C_INS_V01R00.h5,01JAN,2019-01-01 10:15:00,2019-01-01 15:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,546.4238891601562,90.15681457519531,826.9066162109375,611.217041015625,9994215.0,-352282696,0
3RIMG_01JAN2019_1045_L2C_INS_V01R00.h5,01JAN,2019-01-01 10:45:00,2019-01-01 16:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,422.1936950683594,74.29106903076172,771.9580078125,556.0455322265625,9994245.0,-1075968072,0
3RIMG_01JAN2019_1115_L2C_INS_V01R00.h5,01JAN,2019-01-01 11:15:00,2019-01-01 16:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,291.2116394042969,54.8376579284668,690.5075073242188,359.2825927734375,9994275.0,1433278392,0
3RIMG_01JAN2019_1145_L2C_INS_V01R00.h5,01JAN,2019-01-01 11:45:00,2019-01-01 17:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,160.08534240722656,33.10688018798828,556.52783203125,283.3988952636719,9994305.0,-553777224,0
3RIMG_01JAN2019_1215_L2C_INS_V01R00.h5,01JAN,2019-01-01 12:15:00,2019-01-01 17:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,44.50566482543945,10.97008991241455,305.8388366699219,87.5799560546875,9994335.0,973551544,0
3RIMG_01JAN2019_1245_L2C_INS_V01R00.h5,01JAN,2019-01-01 12:45:00,2019-01-01 18:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,0.0,0.0,0.0,9994365.0,-1945335880,0
3RIMG_01JAN2019_1315_L2C_INS_V01R00.h5,01JAN,2019-01-01 13:15:00,2019-01-01 18:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,0.0,0.0,0.0,9994395.0,-1453353032,0
3RIMG_01JAN2019_1345_L2C_INS_V01R00.h5,01JAN,2019-01-01 13:45:00,2019-01-01 19:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,0.0,0.0,0.0,9994425.0,-1407592520,0
3RIMG_01JAN2019_1415_L2C_INS_V01R00.h5,01JAN,2019-01-01 14:15:00,2019-01-01 19:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,0.0,0.0,0.0,9994455.0,994281400,0
3RIMG_01JAN2019_1445_L2C_INS_V01R00.h5,01JAN,2019-01-01 14:45:00,2019-01-01 20:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,0.0,0.0,0.0,9994485.0,-314325064,0
3RIMG_01JAN2019_1515_L2C_INS_V01R00.h5,01JAN,2019-01-01 15:15:00,2019-01-01 20:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,0.0,0.0,0.0,9994515.0,565143480,0
3RIMG_01JAN2019_1545_L2C_INS_V01R00.h5,01JAN,2019-01-01 15:45:00,2019-01-01 21:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,0.0,0.0,0.0,9994545.0,-1802057800,0
3RIMG_01JAN2019_1615_L2C_INS_V01R00.h5,01JAN,2019-01-01 16:15:00,2019-01-01 21:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,0.0,0.0,0.0,9994575.0,1580009400,0
3RIMG_01JAN2019_1645_L2C_INS_V01R00.h5,01JAN,2019-01-01 16:45:00,2019-01-01 22:15:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,0.0,0.0,0.0,9994605.0,361039800,0
3RIMG_01JAN2019_1715_L2C_INS_V01R00.h5,01JAN,2019-01-01 17:15:00,2019-01-01 22:45:00,9.14,77.92,1229.0670156003907,0.0,1350,868,0.0,0.0,0.0,0.0,9994635.0,1346033592,0
