time_utc,time_ist,lat,lon,ghi
2019-01-01 00:15:00,2019-01-01 05:45:00,9.14,77.92,0.0
2019-01-01 00:45:00,2019-01-01 06:15:00,9.14,77.92,0.0
2019-01-01 01:15:00,2019-01-01 06:45:00,9.14,77.92,0.0
2019-01-01 01:45:00,2019-01-01 07:15:00,9.14,77.92,0.0
2019-01-01 02:15:00,2019-01-01 07:45:00,9.14,77.92,176.66574096679688
2019-01-01 02:45:00,2019-01-01 08:15:00,9.14,77.92,213.89996337890625
2019-01-01 03:15:00,2019-01-01 08:45:00,9.14,77.92,265.623779296875
2019-01-01 03:45:00,2019-01-01 09:15:00,9.14,77.92,256.1790466308594
2019-01-01 04:15:00,2019-01-01 09:45:00,9.14,77.92,775.4664306640625
2019-01-01 04:45:00,2019-01-01 10:15:00,9.14,77.92,864.7412719726562
2019-01-01 05:15:00,2019-01-01 10:45:00,9.14,77.92,589.8521118164062
2019-01-01 05:45:00,2019-01-01 11:15:00,9.14,77.92,979.4682006835938
2019-01-01 06:15:00,2019-01-01 11:45:00,9.14,77.92,1008.249755859375
2019-01-01 06:45:00,2019-01-01 12:15:00,9.14,77.92,1019.9552612304688
2019-01-01 07:15:00,2019-01-01 12:45:00,9.14,77.92,1005.633544921875
2019-01-01 07:45:00,2019-01-01 13:15:00,9.14,77.92,972.8754272460938
2019-01-01 08:15:00,2019-01-01 13:45:00,9.14,77.92,922.265869140625
2019-01-01 08:45:00,2019-01-01 14:15:00,9.14,77.92,852.320068359375
2019-01-01 09:15:00,2019-01-01 14:45:00,9.14,77.92,763.5194702148438
2019-01-01 09:45:00,2019-01-01 15:15:00,9.14,77.92,659.9011840820312
2019-01-01 10:15:00,2019-01-01 15:45:00,9.14,77.92,546.4238891601562
2019-01-01 10:45:00,2019-01-01 16:15:00,9.14,77.92,422.1936950683594
2019-01-01 11:15:00,2019-01-01 16:45:00,9.14,77.92,291.2116394042969
2019-01-01 11:45:00,2019-01-01 17:15:00,9.14,77.92,160.08534240722656
2019-01-01 12:15:00,2019-01-01 17:45:00,9.14,77.92,44.50566482543945
2019-01-01 12:45:00,2019-01-01 18:15:00,9.14,77.92,0.0
2019-01-01 13:15:00,2019-01-01 18:45:00,9.14,77.92,0.0
2019-01-01 13:45:00,2019-01-01 19:15:00,9.14,77.92,0.0
2019-01-01 14:15:00,2019-01-01 19:45:00,9.14,77.92,0.0
2019-01-01 14:45:00,2019-01-01 20:15:00,9.14,77.92,0.0
2019-01-01 15:15:00,2019-01-01 20:45:00,9.14,77.92,0.0
2019-01-01 15:45:00,2019-01-01 21:15:00,9.14,77.92,0.0
2019-01-01 16:15:00,2019-01-01 21:45:00,9.14,77.92,0.0
2019-01-01 16:45:00,2019-01-01 22:15:00,9.14,77.92,0.0
2019-01-01 17:15:00,2019-01-01 22:45:00,9.14,77.92,0.0
2019-01-01 18:15:00,2019-01-01 23:45:00,9.14,77.92,0.0
2019-01-01 18:45:00,2019-01-02 00:15:00,9.14,77.92,0.0
2019-01-01 19:15:00,2019-01-02 00:45:00,9.14,77.92,0.0
2019-01-01 19:45:00,2019-01-02 01:15:00,9.14,77.92,0.0
2019-01-01 20:15:00,2019-01-02 01:45:00,9.14,77.92,0.0
2019-01-01 20:45:00,2019-01-02 02:15:00,9.14,77.92,0.0
2019-01-01 21:15:00,2019-01-02 02:45:00,9.14,77.92,0.0
2019-01-01 21:45:00,2019-01-02 03:15:00,9.14,77.92,0.0
2019-01-01 22:15:00,2019-01-02 03:45:00,9.14,77.92,0.0
2019-01-01 22:45:00,2019-01-02 04:15:00,9.14,77.92,0.0
2019-01-01 23:15:00,2019-01-02 04:45:00,9.14,77.92,0.0
2019-01-01 23:45:00,2019-01-02 05:15:00,9.14,77.92,0.0
